DailyTimeSpentonSite,Age,AreaIncome,DailyInternetUsage,Male,Clicked,AdTopicLine,City,Country,Timestamp
68.95,35,61833.9,256.09,0,0,Cloned 5thgeneration orchestration,Wrightburgh,Tunisia,3/27/2016 0:53
80.23,31,68441.85,193.77,1,0,Monitored national standardization,West Jodi,Nauru,4/4/2016 1:39
69.47,26,59785.94,236.5,0,0,Organic bottom-line service-desk,Davidton,San Marino,3/13/2016 20:35
74.15,29,54806.18,245.89,1,0,Triple-buffered reciprocal time-frame,West Terrifurt,Italy,1/10/2016 2:31
68.37,35,73889.99,225.58,0,0,Robust logistical utilization,South Manuel,Iceland,6/3/2016 3:36
59.99,23,59761.56,226.74,1,0,Sharable client-driven software,Jamieberg,Norway,5/19/2016 14:30
88.91,33,53852.85,208.36,0,0,Enhanced dedicated support,Brandonstad,Myanmar,1/28/2016 20:59
66,48,24593.33,131.76,1,1,Reactive local challenge,Port Jefferybury,Australia,3/7/2016 1:40
74.53,30,68862,221.51,1,0,Configurable coherent function,West Colin,Grenada,4/18/2016 9:33
69.88,20,55642.32,183.82,1,0,Mandatory homogeneous architecture,Ramirezton,Ghana,7/11/2016 1:42
47.64,49,45632.51,122.02,0,1,Centralized neutral neural-net,West Brandonton,Qatar,3/16/2016 20:19
83.07,37,62491.01,230.87,1,0,Team-oriented grid-enabled Local Area Network,East Theresashire,Burundi,5/8/2016 8:10
69.57,48,51636.92,113.12,1,1,Centralized content-based focus group,West Katiefurt,Egypt,6/3/2016 1:14
79.52,24,51739.63,214.23,0,0,Synergistic fresh-thinking array,North Tara,Bosnia and Herzegovina,4/20/2016 21:49
42.95,33,30976,143.56,0,1,Grass-roots coherent extranet,West William,Barbados,3/24/2016 9:31
63.45,23,52182.23,140.64,1,1,Persistent demand-driven interface,New Travistown,Spain,3/9/2016 3:41
55.39,37,23936.86,129.41,0,1,Customizable multi-tasking website,West Dylanberg,Palestinian Territory,1/30/2016 19:20
82.03,41,71511.08,187.53,0,0,Intuitive dynamic attitude,Pruittmouth,Afghanistan,5/2/2016 7:00
54.7,36,31087.54,118.39,1,1,Grass-roots solution-oriented conglomeration,Jessicastad,British Indian Ocean Territory (Chagos Archipelago),2/13/2016 7:53
74.58,40,23821.72,135.51,1,1,Advanced 24/7 productivity,Millertown,Russian Federation,2/27/2016 4:43
77.22,30,64802.33,224.44,1,0,Object-based reciprocal knowledgebase,Port Jacqueline,Cameroon,1/5/2016 7:52
84.59,35,60015.57,226.54,1,0,Streamlined non-volatile analyzer,Lake Nicole,Cameroon,3/18/2016 13:22
41.49,52,32635.7,164.83,0,1,Mandatory disintermediate utilization,South John,Burundi,5/20/2016 8:49
87.29,36,61628.72,209.93,1,0,Future-proofed methodical protocol,Pamelamouth,Korea,3/23/2016 9:43
41.39,41,68962.32,167.22,0,1,Exclusive neutral parallelism,Harperborough,Tokelau,6/13/2016 17:27
